stadium,weather,location,div_game,roof,surface,temp,wind,stadium_id,game_stadium
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
RCA Dome,"Temp: ° F, Wind: mph",Home,1,dome,astroturf,,,IND99,RCA Dome
